,address,at_street,description,latitude,location_type,longitude,municipality,name,on_street,platform_code,platform_name,vehicle_type,wheelchair_boarding
5868,,Marion Street,,42.376029,0,-71.035676,Boston,Bennington St @ Marion St,Bennington Street,,,3.0,1
17591,,Newhall Avenue,,42.464471,0,-71.014587,Saugus,56 Main St,Main Street,,,3.0,1
node-river-ramp-lobby,,,Riverside - Top of ramp for buses,42.337347,3,-71.252761,Newton,Riverside,,,,,1
node-orhte-obunpaidstairs-bridge,,,Orient Heights - Top of stairs for Saratoga Street,42.38696,3,-71.004793,Boston,Orient Heights,,,,,1
7631,,Walnut Street,,42.351614,0,-71.207105,Newton,Washington St @ Walnut St,Washington Street,,,3.0,0
1504,,Jerome Street,,42.314891,0,-71.065955,Boston,Hancock St @ Bird St,Hancock Street,,,3.0,1
node-wondl-footbridgeib,,,Wonderland - Bowdoin-bound platform end of pedestrian bridge,42.413273,3,-70.991927,Revere,Wonderland,,,,,1
3719,,Harbor Villa Avenue,,42.23048,0,-70.972503,Braintree,Quincy Ave @ Harbor Villa Ave,Quincy Avenue,,,3.0,1
node-917-lobby,,,Prudential - Bottom of elevator between Prudential Center and lobby,,3,,Boston,Prudential,,,,,1
1335,,Laurel Street,,42.31956,0,-71.085891,Boston,Humboldt Ave @ ML King Blvd,Humboldt Avenue,,,3.0,1
7838,,Rumford Avenue,,42.357715,0,-71.23961,Newton,Lexington St @ River St,Lexington Street,,,3.0,1
node-pktrm-wintfare-unpaid,,,Park Street - Unpaid side of fare gates,,3,,Boston,Park Street,,,,,1
node-tumnl-wash-fareunpaid,,,Tufts Medical Center - Unpaid side of fare gates,,3,,Boston,Tufts Medical Center,,,,,1
2095,,Larch Road,,42.380242,0,-71.14372,Cambridge,Huron Ave @ Larch Rd,Huron Avenue,,,3.0,1
4537,,Waitt Avenue,,42.48415,0,-70.94221,Lynn,Western Ave @ Waitt Ave,Western Avenue,,,3.0,1
node-710-platform,,,Wonderland - Platform level of Wonderland-bound platform elevator,42.413446,3,-70.991592,Revere,Wonderland,,,,,1
3396,,Kimball Street,,42.254789,0,-71.033754,Quincy,Robertson St opp Kimball St,Robertson Street,,,3.0,1
14717,,Beach Street,,42.409782,0,-71.002099,Revere,American Legion Hwy @ Beach St - Bell Circle,American Legion Highway,,,3.0,1
2795,,Cornell Street,,42.274446,0,-71.127961,Boston,Poplar St opp Cornell St,Poplar Street,,,3.0,1
1352,,Homestead Street,,42.312038,0,-71.0905,Boston,Humboldt Ave @ Homestead St,Humboldt Avenue,,,3.0,1
567,,Bishop Joe L Smith,,42.307223,0,-71.079805,Boston,Geneva Ave @ Jeremiah Burke High School,Geneva Avenue,,,3.0,1
975,,Brock Street,,42.348976,0,-71.160573,Boston,Washington St @ Brock St,Washington Street,,,3.0,1
node-946-platform,,,Savin Hill - Bottom of elevator between platform and lobby,42.311045,3,-71.053449,Boston,Savin Hill,,,,,1
door-rugg-buses,,,"Ruggles - Columbus Ave, Buses",42.336473,2,-71.089194,Boston,"Ruggles - Columbus Ave, Buses",,,,,1
4587,,,,42.523288,0,-70.957779,Peabody,opp 11 Centennial Dr,Centennial Drive,,,3.0,0
9131,,Wilcox Circle,,42.492296,0,-71.154162,Woburn,Main St @ Eaton Ave,Main Street,,,3.0,1
9116,,Hemingway Street,,42.462961,0,-71.143731,Winchester,Main St opp Hemmingway St,Main Street,,,3.0,1
45834,,Gordan Road,,42.418603,0,-71.018902,Revere,Cushman Ave @ Newhall St,Cushman Avenue,,,3.0,1
2099,,Church Street,,42.3875,0,-71.189976,Belmont,Trapelo Rd @ Church St,Trapelo Road,,,3.0,1
node-sstat-bldgescdown-ground,,,South Station - Top of escalators from Commuter Rail concourse,,3,,Boston,South Station,,,,,1
3580,,South Street,,42.241708,0,-70.889903,Hingham,Central St @ South St,Central Street,,,3.0,1
49831,,Sedgewick Park,,42.4873,0,-71.139071,Woburn,Salem St @ Hilltop Terr,Salem Street,,,3.0,1
12652,,Cleveland Street,,42.408588,0,-71.137313,Arlington,Broadway @ Cleveland St,Broadway,,,3.0,1
4927,,Aborn Street,,42.521226,0,-70.926143,Peabody,Washington St @ Aborn St,Washington Street,,,3.0,1
NB-0127-S,,,Needham Center - Commuter Rail - Track 1 (All Trains),42.280775,0,-71.237686,Needham,Needham Center,,1,Track 1 (All Trains),2.0,1
35201,,McDonough Way,,42.328495,0,-71.052689,Boston,Old Colony Ave @ McDonough Way,Old Colony Avenue,,,3.0,1
14233,,,,42.13426,0,-71.039587,Avon,Main St @ Demarco Park,North Main Street,,,3.0,1
5580,,Kilburn Street,,42.41351,0,-71.025517,Revere,Park Ave @ Dale St,Park Avenue,,,3.0,1
11781,,Fenway,,42.340095,0,-71.101014,Boston,Ave Louis Pasteur @ The Fenway,Avenue Louis Pasteur,,,3.0,1
6526,,,,42.253877,0,-71.139562,Boston,Alwin St @ Turtle Pond Pkwy,Alwin Street,,,3.0,0
node-962-lobby,,,Arlington - Top of westbound elevator,,3,,Boston,Arlington,,,,,1
498,,Arbella Road,,42.278452,0,-71.076948,Boston,Gallivan Blvd @ Arbella Rd,Gallivan Boulevard,,,3.0,1
572,,Wichita Terrace,,42.27208,0,-71.070655,Boston,River St @ Wichita Ter,River Street,,,3.0,1
26131,,,,42.380273,0,-71.096622,Somerville,Bow St @ Warren Ave,Bow Street,,,3.0,1
1563,,Jersey Street,,42.346694,0,-71.098982,Boston,Brookline Ave @ Jersey St,Brookline Avenue,,,3.0,1
1340,,Saint Richard Street,,42.323788,0,-71.083985,Boston,Walnut Ave @ Circuit St,Walnut Avenue,,,3.0,1
4799,,Bessom Street,,42.50024,0,-70.858676,Marblehead,Pleasant St opp Bessom St,Pleasant Street,,,3.0,1
2273,,Churchill Avenue,,42.399844,0,-71.133258,Cambridge,Massachusetts Ave @ Churchill Ave,Massachusetts Avenue,,,3.0,1
place-boyls,"Boylston St and Tremont St, Boston, MA",,,42.35302,1,-71.06459,Boston,Boylston,,,,,2
21772,,Vassar Street,,42.354929,0,-71.10512,Cambridge,Amesbury St @ Vassar St,Amesbury Street,,,3.0,1
node-haecl-busolstair-passage,,,Haymarket - Bottom of stairs between busway lobby and Orange Line passageway,,3,,Boston,Haymarket,,,,,1
70049,,,Wood Island - Blue Line - Bowdoin,42.37974,0,-71.022818,Boston,Wood Island,,1,Bowdoin,1.0,1
11522,,Arborway,,42.300643,0,-71.106355,Boston,Morton St @ Circuit Dr,Morton Street,,,3.0,1
9125,,,,42.479132,0,-71.152051,Woburn,Common St @ Woburn City Hall,Common Street,,,3.0,1
5385,,Bryant Street,,42.423005,0,-71.050842,Malden,Newland St @ Bryant St,Newland Street,,,3.0,1
node-102-street,,,Oak Grove - Bottom of escalator from Washington Street,42.436782,3,-71.071084,Malden,Oak Grove,,,,,1
5620,,Forsyth Street,,42.398055,0,-71.030839,Chelsea,Washington Ave @ Cary Ave,Washington Avenue,,,3.0,1
210,,,,42.344381,0,-71.039016,Boston,Summer St @ Drydock Ave,Summer Street,,,3.0,1
50944,,Middlesex Turnpike,,42.490898,0,-71.225725,Burlington,23 Fourth Ave,Fourth Avenue,,,3.0,1
WML-0081-02,,,Newtonville - Commuter Rail - Track 2 (All Trains),42.351702,0,-71.205408,Newton,Newtonville,,2,Commuter Rail - Track 2 (All Trains),2.0,2
8302,,Elm Street,,42.436082,0,-71.102168,Medford,Fellsway W opp Elm St,Fellsway West,,,3.0,1
door-brntn-busway,,,"Braintree - Garage, Buses, Ivory St",42.207352,2,-71.001361,Braintree,"Braintree - Garage, Buses, Ivory St",,,,,1
ER-0227-B0,,Railroad Avenue,Hamilton/Wenham - Commuter Rail Outbound Shuttle - Bay Rd opp Railroad Ave,42.610143,0,-70.874955,Hamilton,Hamilton/Wenham - Bay Rd opp Railroad Ave,Bay Road,,Outbound Shuttle,3.0,1
1984,,Hammond Street,,42.323275,0,-71.163979,Brookline,Boylston St @ Hammond St,Boylston Street,,,3.0,1
door-matt-northbus,,,Mattapan - Upper Busway,42.267684,2,-71.092224,Boston,Mattapan - Upper Busway,,,,,1
3678,,Fairmount Avenue,,42.217064,0,-70.931856,Weymouth,Broad St @ Fairmount Ave,Broad Street,,,3.0,0
3597,,Planters Field Lane,,42.253369,0,-70.902216,Hingham,Downer Ave @ Planters Field Ln,Downer Avenue,,,3.0,1
4074,,,,42.182885,0,-71.028109,Randolph,North St opp Scannel Rd,North Street,,,3.0,1
8270,,Mystic View Terrace,,42.428849,0,-71.153132,Arlington,Mystic St @ Falmouth Rd,Mystic Street,,,3.0,1
8825,,Warren Street,,42.374606,0,-71.210156,Waltham,Main St @ Warren St - Waltham Line,Main Street,,,3.0,1
7378,,Dearborn Avenue,,42.458926,0,-70.977175,Lynn,Summer St opp Dearborn Ave,Summer Street,,,3.0,0
88334,,Common Street,,42.376251,0,-71.237666,Waltham,691 Main St,Main Street,,,3.0,1
3215,,Tyler Street,,42.275429,0,-71.022106,Quincy,Billings Rd opp Tyler St,Billings Road,,,3.0,1
2342,,South Normandy Avenue,,42.393007,0,-71.157819,Cambridge,Blanchard Rd @ Normandy Ave,Blanchard Road,,,3.0,1
NHRML-0127-01,,,Anderson/Woburn - Commuter Rail - Track 1 (Outbound),42.516987,0,-71.144475,Woburn,Anderson/Woburn,,1,Track 1 (Outbound),2.0,1
9008,,Forest Street,,42.443372,0,-71.054695,Melrose,Lebanon St @ Forest St,Lebanon Street,,,3.0,1
8326,,Parkman Street,,42.297185,0,-71.056697,Boston,Adams St @ Parkman St,Adams Street,,,3.0,1
4245,,Cole Terrace,,42.154446,0,-71.044887,Randolph,S Main St opp Cole Terr,South Main Street,,,3.0,1
4393,,Klondike Street,,42.249237,0,-71.01093,Quincy,197 Whitwell St,Whitwell Street,,,3.0,1
26467,,,,42.2417,0,-71.130635,Boston,1664 Hyde Park Ave,Hyde Park Avenue,,,3.0,1
door-woodl-east,,,Woodland - East,42.332729,2,-71.242908,Newton,Woodland - East,,,,,1
3144,,Standish Road,,42.297063,0,-71.010921,Quincy,Huckins Ave @ Standish Rd,Huckins Avenue,,,3.0,1
3399,,Quarry Street,,42.252358,0,-71.035932,Quincy,Robertson St @ Quarry St,Robertson Street,,,3.0,1
63,,Ruggles Street,,42.331035,0,-71.082875,Boston,Washington St @ Ruggles St,Washington Street,,,3.0,1
3532,,Bluff Road,,42.242566,0,-70.960438,Weymouth,Bridge St @ Bluff Rd,Bridge Street,,,3.0,1
2494,,Golden Avenue,,42.416276,0,-71.199096,Arlington,East Service Rd @ Golden Ave,Frontage Road,,,3.0,2
7650,,Watertown Street,,42.349493,0,-71.225706,Newton,Washington St @ Watertown St,Washington Street,,,3.0,1
109825,,Hadassah Way,,42.378929,0,-70.975801,Winthrop,Veterans Rd @ Hadassah Way,Veterans Road,,,3.0,1
85562,,,,42.288448,0,-71.171822,Boston,Baker St @ VFW Pkwy,Baker Street,,,3.0,1
70240,,,Prudential - Green Line - Park Street & North,42.34557,0,-71.081696,Boston,Prudential,,,Park Street & North,0.0,1
969,,Dustin Street,,42.350864,0,-71.145539,Boston,Cambridge St @ Dustin St,Cambridge Street,,,3.0,1
70043,,,Aquarium - Blue Line - Bowdoin,42.359784,0,-71.051652,Boston,Aquarium,,1,Bowdoin,1.0,1
39081,,Water Street,,42.170082,0,-71.008373,Braintree,Washington St @ Water St,Washington Street,,,3.0,1
8292,,Hersom Street,,42.372745,0,-71.20129,Watertown,590 Main St opp Herson St,Main Street,,,3.0,1
7437,,Guild Road,,42.451835,0,-70.992459,Saugus,Lincoln Ave @ Guild Rd,Lincoln Avenue,,,3.0,1
place-lngmd,"Huntington Ave and Longwood Ave, Boston, MA 02115",,,42.33596,1,-71.100052,Boston,Longwood Medical Area,,,,,1
place-WR-0325,"10 Railroad Ave, Bradford, MA 01835",,,42.766912,1,-71.088411,Haverhill,Bradford,,,,,1
door-bbsta-dartmw,,,Back Bay - Dartmouth St (Tracks 5 and 7),42.347572,2,-71.076228,Boston,Back Bay - Dartmouth St (Tracks 5 and 7),,,,,2
6461,,Brown Avenue,,42.282001,0,-71.122577,Boston,Cummins Hwy @ Brown Ave,Cummins Highway,,,3.0,1
node-127-busway,,,Forest Hills - Bottom of north lower busway escalator,42.300778,3,-71.113596,Boston,Forest Hills,,,,,1
2228,,Galileo Way,,42.364487,0,-71.089007,Cambridge,Broadway @ Galileo Way,Broadway,,,3.0,1
7344,,Regina Road,,42.506073,0,-70.983126,Lynn,Lynnfield St @ Regina Rd,Lynnfield Street,,,3.0,0
11388,,Belvidere Street,,42.345344,0,-71.082045,Boston,Huntington Ave @ Belvidere St,Huntington Avenue,,,3.0,1
door-bbsta-busways,,,"Back Bay - Clarendon St, Buses (South)",42.347445,2,-71.07467,Boston,"Back Bay - Clarendon St, Buses (South)",,,,,1
8550,,Walsh Road,,42.291271,0,-71.19229,Newton,Wiswall Rd @ Walsh Rd,Wiswall Road,,,3.0,0
node-bomnl-pstair-platform,,,Bowdoin - Bottom of stairs between ramp and lobby,,3,,Boston,Bowdoin,,,,,1
1401,,Trowbridge Street,,42.374884,0,-71.110198,Cambridge,Cambridge St @ Trowbridge St,Cambridge Street,,,3.0,1
2388,,School Street,,42.389153,0,-71.097269,Somerville,Medford St @ School St,Medford Street,,,3.0,1
1566,,,,42.30962,0,-71.082454,Boston,Blue Hill Ave opp Warren St,Blue Hill Avenue,,,3.0,1
WML-0012-07,,,Back Bay - Commuter Rail - Track 7,42.34759,0,-71.075393,Boston,Back Bay,,7,Commuter Rail - Track 7,2.0,1
1274,,Corey Road,,42.342394,0,-71.140567,Boston,Washington St @ Corey Rd,Washington Street,,,3.0,1
2318,,Walden Street,,42.391505,0,-71.123235,Cambridge,Massachusetts Ave opp Walden St,Massachusetts Avenue,,,3.0,1
9292,,Main Street,,42.522611,0,-71.077498,Wakefield,Lowell St @ Main St,Lowell Street,,,3.0,1
61866,,,,42.240573,0,-71.179396,Dedham,Washington St @ Dedham Plaza,Washington Street,,,3.0,1
8869,,Chesnut Street,,42.485493,0,-71.152187,Woburn,Main St @ Kilby St,Main Street,,,3.0,1
1673,,Wildwood Street,,42.451614,0,-71.156869,Winchester,Cambridge St @ Wildwood St,Cambridge Street,,,3.0,1
7723,,Dale Street,,42.385651,0,-71.248774,Waltham,Tomlin St @ Dale St,Tomlin Street,,,3.0,1
place-WR-0228,"17 Railroad St, Andover, MA 01810",,,42.658336,1,-71.144502,Andover,Andover,,,,,1
place-FR-0219,"Commonwealth Ave and Main St, West Concord, MA 01742",,,42.457043,1,-71.392892,Concord,West Concord,,,,,1
17354,,,,42.489729,0,-70.968996,Lynn,Lynnfield St @ St Mary Cemetery,Lynnfield Street,,,3.0,1
2440,,Gardner Road,,42.370814,0,-71.100038,Cambridge,Prospect St @ St Mary Rd,Prospect Street,,,3.0,1
5393,,Hancock Street,,42.419275,0,-71.063396,Malden,Cross St @ High St,Cross Street,,,3.0,1
17711,,Laurel Street,,42.38124,0,-71.189076,Belmont,Lexington St @ Laurel St,Lexington Street,,,3.0,1
place-unsqu,"50 Prospect St, Somerville, MA 02143",,,42.377359,1,-71.094761,Somerville,Union Square,,,,,1
16618,,Richards Street,,42.243358,0,-71.177137,Dedham,Washington St @ Richards St,Washington Street,,,3.0,0
13825,,Charmada Road,,42.187111,0,-70.955589,Weymouth,561 Main St,Main Street,,,3.0,1
WR-0325-B,,,Bradford - Commuter Rail Shuttle - Parking Lot,42.766954,0,-71.088467,Haverhill,Bradford - Parking Lot,,,Commuter Rail Shuttle,3.0,1
9296,,Manning Street,,42.527076,0,-71.094311,Reading,Salem St opp Manning St,Salem Street,,,3.0,1
92391,,,,42.335111,0,-71.102717,Boston,677 Huntington Ave,Huntington Avenue,,,3.0,1
4063,,Plain Street,,42.164866,0,-71.039387,Randolph,81 North St,North Street,,,3.0,1
26466,,Margin Street,,42.251726,0,-71.125372,Boston,1344 Hyde Park Ave @ Blake Estates,Hyde Park Avenue,,,3.0,1
6764,,North Franklin Street,,42.469859,0,-70.960068,Lynn,Boston St @ Franklin St,Boston Street,,,3.0,1
7900,,,,42.473709,0,-71.248316,Lexington,Bedford St @ Eldred St,Bedford Street,,,3.0,1
4046,,Pictun Road,,42.179659,0,-71.029679,Randolph,North St @ Pictun Rd,North Street,,,3.0,1
939,,Hinsdale Street,,42.349397,0,-71.103055,Boston,Commonwealth Ave @ Hinsdale St,Commonwealth Avenue,,,3.0,1
15645,,Revere Beach Parkway,,42.402067,0,-71.041716,Everett,Everett Ave @ Revere Beach Pkwy,Everett Avenue,,,3.0,1
4727,,Addison Street,,42.386142,0,-71.019171,Boston,McClellan Highway @ Addison St,McClellan Highway,,,3.0,1
7913,,Oak Street,,42.427464,0,-71.20362,Lexington,Massachusetts Ave @ Oak St,Massachusetts Avenue,,,3.0,1
1448,,School Street,,42.363942,0,-71.167553,Watertown,Arsenal St @ School St,Arsenal Street,,,3.0,1
1613,,,,42.261049,0,-71.147072,Boston,W Boundary Rd @ Ohrenberger School,West Boundary Road,,,3.0,1
17255,,Ford Street,,42.477199,0,-70.957173,Lynn,Boston St opp Ford St,Boston Street,,,3.0,1
70257,,,Back of the Hill - Green Line - (E) Heath Street,42.329369,0,-71.111046,Boston,Back of the Hill,,,Heath Street,0.0,2
place-lake,"Commonwealth Ave and Lake St, Boston, MA 02135",,,42.340081,1,-71.166769,Boston,Boston College,,,,,1
2028,,Brattle Street,,42.375405,0,-71.142976,Cambridge,Mt Auburn St @ Brattle St,Mount Auburn Street,,,3.0,0
5362,,Magnolia Street,,42.42259,0,-71.060815,Malden,Ferry St @ Magnolia St,Ferry Street,,,3.0,1
564,,Vaughan Avenue,,42.305194,0,-71.076651,Boston,Geneva Ave @ Four Corners/Geneva Station,Geneva Avenue,,,3.0,1
3885,,Arbutus Avenue,,42.178289,0,-71.014645,Braintree,Washington St @ Hillview Rd,Washington Street,,,3.0,1
328,,Dix Street,,42.295155,0,-71.061707,Boston,1621 Dorchester Ave opp Dix St,Dorchester Avenue,,,3.0,1
4736,,,,42.419074,0,-70.990671,Revere,N Shore Rd @ Revere St,North Shore Road,,,3.0,1
13817,,Avalon Drive,,42.205669,0,-70.954448,Weymouth,Washington St opp Avalon Dr,Washington Street,,,3.0,1
node-426-lobby,,,Charles/MGH - Bottom of Escalator 426,42.361211,3,-71.070404,Boston,Charles/MGH,,,,,1
7380,,North Ames Street,,42.460287,0,-70.979576,Lynn,787 Summer St,Summer Street,,,3.0,1
8514,,Bellevue Street,,42.349623,0,-71.186879,Newton,Centre St @ Hyde Ave,Centre Street,,,3.0,1
node-jfk-ashcolfareunpaid,,,JFK/UMass - Unpaid side of exit-only gates,42.321341,3,-71.05258,Boston,JFK/UMass,,,,,1
node-931-bridge,,,Airport - Top of Elevator 931,42.37423,3,-71.030177,Boston,Airport,,,,,1
node-ogcityhallstairs-nbplatform,,,State - Bottom of stairs between Oak Grove platform and City Hall,,3,,Boston,State,,,,,1
15046,,Williams Street,,42.392509,0,-71.044421,Chelsea,Spruce St @ Williams St,Spruce Street,,,3.0,0
node-703-plaza,,,Wonderland - Revere Beach Plaza level of garage elevator,42.413467,3,-70.991914,Revere,Wonderland,,,,,1
49096,,Bradbury Avenue,,42.409111,0,-71.082001,Medford,Riverside Ave @ Bradbury Ave,Riverside Avenue,,,3.0,1
7578,,,,42.383979,0,-71.210523,Waltham,Beaver St @ Waverley Oaks Rd,Beaver Street,,,3.0,1
7659,,Whitlowe Road,,42.359169,0,-71.239345,Newton,Lexington St @ Whitlowe Rd,Lexington Street,,,3.0,1
9070072,,Palmer Street,Harvard - Red Line Shuttle - Brattle St @ Palmer St,42.373396,0,-71.1202,Cambridge,Harvard - Brattle St @ Palmer St,Brattle Street,,Red Line Shuttle,3.0,1
7317,,Goodridge Street,,42.47566,0,-70.946287,Lynn,Chestnut St @ Goodridge St,Chestnut Street,,,3.0,1
821,,Saint Theresa Avenue,,42.27898,0,-71.159417,Boston,Centre St @ Lorette St,Centre Street,,,3.0,1
node-wlsta-stair6gate-farepaid,,,Wollaston - Paid side of secondary Newport Avenue fare gates,,3,,Quincy,Wollaston,,,,,1
4779,,Stanley Road,,42.480109,0,-70.889838,Swampscott,Humphrey St @ Beach Bluff Ave,Humphrey Street,,,3.0,1
65547,,Pamela Court,,42.347531,0,-71.245414,Newton,Commonwealth Ave @ Pamela Ct,Commonwealth Avenue,,,3.0,1
1540,,Hammond Street,,42.32361,0,-71.163925,Brookline,Boylston St @ Hammond St,Boylston Street,,,3.0,1
70097,,,North Quincy - Red Line - Braintree,42.27577,0,-71.030194,Quincy,North Quincy,,2,Braintree,1.0,1
4242,,Selwyn Road,,42.148094,0,-71.042987,Randolph,S Main St opp Selwyn Rd,South Main Street,,,3.0,1
81449,,,,42.311334,0,-71.228521,Needham,Central Ave @ Reservoir St,Central Avenue,,,3.0,1
52618,,Oolah Avenue,,42.179215,0,-71.205315,Norwood,Washington St @ Heaton Ave,Washington Street,,,3.0,1
16000,,Garland Street,,42.454749,0,-71.07873,Melrose,Wyoming Ave @ Ravine Rd,West Wyoming Avenue,,,3.0,0
6860,,Rockdale Avenue,,42.487097,0,-70.954819,Lynn,Euclid Ave @ Rockdale Ave,Euclid Avenue,,,3.0,0
4518,,Cooper Street,,42.453542,0,-70.975838,Lynn,Western Ave opp Cooper St,Western Avenue,,,3.0,1
3395,,Adams Street,,42.255874,0,-71.032785,Quincy,Robertson St @ Adams St,Robertson Street,,,3.0,1
2632,,Cameron Avenue,,42.401253,0,-71.126187,Somerville,Holland St opp Cameron Ave,Holland Street,,,3.0,1
598,,Archdale Road,,42.292893,0,-71.121409,Boston,Washington St @ Archdale Rd,Washington Street,,,3.0,1
1276,,Beacon Street,,42.339516,0,-71.135747,Brookline,Washington St @ Beacon St,Washington Street,,,3.0,1
place-grigg,"Commonwealth Ave and Griggs St, Boston, MA",,,42.348545,1,-71.134949,Boston,Griggs Street,,,,,2
1187,,Atherton Street,,42.315596,0,-71.098606,Boston,Washington St @ Atherton St,Washington Street,,,3.0,1
9078,,Bellevue Avenue,,42.461233,0,-71.058282,Melrose,Porter St @ Bellevue Ave,Porter Street,,,3.0,1
4559,,Beckford Street,,42.520531,0,-70.901448,Salem,Essex St @ Hamilton st,Essex Street,,,3.0,1
85551,,Spiers Road,,42.292868,0,-71.181257,Newton,Fredette Rd @ Spiers Rd,Fredette Road,,,3.0,1
1932,,Massachusetts Avenue,,42.347163,0,-71.087885,Boston,Boylston St @ Massachusetts Ave,Boylston Street,,,3.0,2
door-knncl-nbmain,,,"Kendall/MIT - Main St, Buses, Cambridge Center",42.362588,2,-71.086167,Cambridge,"Kendall/MIT - Main St, Buses, Cambridge Center",,,,,1
FB-0166-S,,,Windsor Gardens - Commuter Rail - Track 1 (All Trains),42.172127,0,-71.219366,Norwood,Windsor Gardens,,1,Track 1 (All Trains),2.0,2
node-mlmnl-ramptop,,,Malden Center - Top of ramp from Commercial Street,42.426896,3,-71.074026,Malden,Malden Center,,,,,1
4861,,,,42.481287,0,-70.889618,Swampscott,Humphrey St @ Crossman Ave,Humphrey Street,,,3.0,0
8651,,,,42.41911,0,-71.207367,Lexington,Watertown St @ Crescent Rd,Watertown Street,,,3.0,1
8441,,Hill Street,,42.456409,0,-71.235553,Lexington,Bedford St @ Revere St,Bedford Street,,,3.0,1
144,,Berkeley Street,,42.351234,0,-71.07295,Boston,Boylston St @ Berkeley St,Boylston Street,,,3.0,1
door-dwnxg-franklin,,,Downtown Crossing - Franklin St,42.356064,2,-71.059326,Boston,Downtown Crossing - Franklin St,,,,,1
79618,,,,42.146965,0,-71.229095,Walpole,625 Washington St,Washington Street,,,3.0,0
6136,,Empire Street,,42.473679,0,-70.930258,Lynn,Essex St @ Empire St,Essex Street,,,3.0,1
node-state-exchangestairs-ebplatform,,,State - Bottom of stairs between Congress St and Wonderland platform,,3,,Boston,State,,,,,1
262,,H Street,,42.331302,0,-71.041552,Boston,E 8th St @ H St,East Eighth Street,,,3.0,1
node-bbsta-upassestairs-top,,,Back Bay - Top of eastern underpass stairs,,3,,Boston,Back Bay,,,,,1
7369,,Clough Street,,42.476123,0,-70.947237,Lynn,Chestnut St @ Grant St,Chestnut Street,,,3.0,1
1362,,Wigglesworth Street,,42.333906,0,-71.103897,Boston,Tremont St @ Huntington Ave,Tremont Street,,,3.0,1
6538,,Atlantic Avenue,Essex St @ Atlantic Ave - Silver Line - SL4 Nubian,42.35176,0,-71.056003,Boston,Essex St @ Atlantic Ave,Essex Street,,Nubian,3.0,1
96734,,,,42.474945,0,-70.995549,Saugus,Walnut St opp Jefferson Ave,Walnut Street,,,3.0,0
50620,,Alcott Lane,,42.223919,0,-71.187061,Westwood,Washington St @ Alcott Ln,Washington Street,,,3.0,1
3873,,,,42.197906,0,-71.005175,Braintree,Hancock St @ Hancock Ave,Hancock Street,,,3.0,1
70230,,,Washington Square - Green Line - Park Street & North,42.339519,0,-71.134587,Brookline,Washington Square,,,Park Street & North,0.0,1
node-armnl-wescstairs-lobby,,,Arlington - Bottom of stairs from westbound escalator,,3,,Boston,Arlington,,,,,1
556,,Charles Street,,42.299681,0,-71.065237,Boston,Geneva Ave @ Tonawanda St,Geneva Avenue,,,3.0,1
8196,,Commonwealth Avenue,,42.338661,0,-71.206955,Newton,Walnut St @ Commonwealth Ave,Walnut Street,,,3.0,1
6318,,Mystic Street,,42.421658,0,-71.126479,Medford,High St @ Mystic St,High Street,,,3.0,1
10011,,,,42.340162,0,-71.064227,Boston,Albany St @ Randolph St,Albany Street,,,3.0,1
3783,,Summer Street,,42.203136,0,-71.007714,Braintree,Franklin St @ Summer St,Franklin Street,,,3.0,1
85569,,Wycliff Avenue,,42.276201,0,-71.167133,Boston,Baker St @ Wycliff Ave,Baker Street,,,3.0,1
6203,,Florence Avenue,,42.419298,0,-71.18206,Arlington,Park Ave @ Florence Ave,Park Avenue,,,3.0,0
node-gover-fareunpaid,,,Government Center - Unpaid side of fare gates,42.359714,3,-71.05936,Boston,Government Center,,,,,1
81464,,Abbott Street,,42.307696,0,-71.217401,Newton,173 Oak St,Oak Street,,,3.0,1
6108,,Hancock Street,,42.512652,0,-70.892205,Salem,Lafayette St @ Hancock St,Lafayette Street,,,3.0,1
111711,,Craig Street,,42.250044,0,-71.102039,Milton,Blue Hill Ave - Barbara Ln to Valentine Rd (FLAG),Blue Hill Avenue,,,3.0,1
WML-0135-B0,,,Wellesley Hills - Commuter Rail Outbound Shuttle - Washington St opp Abbott Rd,42.31014,0,-71.27672,Wellesley,Wellesley Hills - Washington St opp Abbott Rd,Washington Street,,Commuter Rail Shuttle,3.0,1
door-portr-cracross,,,"Porter - Massachusetts Ave (West), Buses",42.388604,2,-71.119752,Cambridge,"Porter - Massachusetts Ave (West), Buses",,,,,2
70232,,,Tappan Street - Green Line - Park Street & North,42.338567,0,-71.13819,Brookline,Tappan Street,,,Park Street & North,0.0,2
1536,,Reservoir Road,,42.326646,0,-71.148305,Brookline,Boylston St @ Reservoir Rd,Boylston Street,,,3.0,1
4948,,,,42.541655,0,-70.919221,Peabody,Margin St @ Dobbs Rd,Margin Street,,,3.0,1
2006,,Jamaica Street,,42.306131,0,-71.115091,Boston,South St @ Jamaica St,South Street,,,3.0,1
2590,,Spring Street,,42.383777,0,-71.109214,Somerville,594 Somerville Ave,Somerville Avenue,,,3.0,1
6758,,Childs Street,,42.464676,0,-70.971497,Lynn,Boston St opp Childs St,Boston Street,,,3.0,1
36540,,Chandler Street,,42.347293,0,-71.071004,Boston,Berkeley St @ Chandler St,Berkeley Street,,,3.0,1
door-cedgr-hillsdale,,,Cedar Grove - Hillsdale St,42.279969,2,-71.061122,Boston,Cedar Grove - Hillsdale St,,,,,1
49818,,Totman Drive,,42.47227,0,-71.174747,Woburn,Lexington St opp Totman Dr,Lexington Street,,,3.0,1
